authors,decision,forum_link,paper_id,pdf_link,title
"Rico Jonschkowski, Oliver Brock",Reject,https://openreview.net/forum?id=ByvJuTigl&noteId=ByvJuTigl,ByvJuTigl,https://openreview.net/pdf?id=ByvJuTigl,End-to-End Learnable Histogram Filters
"Zoe McCarthy, Andrew Bai, Xi Chen, Pieter Abbeel",Reject,https://openreview.net/forum?id=ry_4vpixl&noteId=ry_4vpixl,ry_4vpixl,https://openreview.net/pdf?id=ry_4vpixl,Rotation Plane Doubly Orthogonal Recurrent Neural Networks
"Hyeokjun Choe, Seil Lee, Hyunha Nam, Seongsik Park, Seijoon Kim, Eui-Young Chung, Sungroh Yoon",Reject,https://openreview.net/forum?id=H1_EDpogx&noteId=H1_EDpogx,H1_EDpogx,https://openreview.net/pdf?id=H1_EDpogx,Near-Data Processing for Machine Learning
"Jean Harb, Doina Precup",Reject,https://openreview.net/forum?id=HJrDIpiee&noteId=HJrDIpiee,HJrDIpiee,https://openreview.net/pdf?id=HJrDIpiee,Investigating Recurrence and Eligibility Traces in Deep Q-Networks
"Jose Rozanec, Gilad Katz, Eui Chul Richard Shin, Dawn Song",Reject,https://openreview.net/forum?id=Byx5BTilg&noteId=Byx5BTilg,Byx5BTilg,https://openreview.net/pdf?id=Byx5BTilg,Exploring the Application of Deep Learning for Supervised Learning Problems
"Daniel Jiwoong Im, Michael Tao, Kristin Branson",Reject,https://openreview.net/forum?id=rkuDV6iex&noteId=rkuDV6iex,rkuDV6iex,https://openreview.net/pdf?id=rkuDV6iex,An Empirical Analysis of Deep Network Loss Surfaces
"Vittal Premachandran, Alan L. Yuille",Reject,https://openreview.net/forum?id=SJ8BZTjeg&noteId=SJ8BZTjeg,SJ8BZTjeg,https://openreview.net/pdf?id=SJ8BZTjeg,Unsupervised Learning Using Generative Adversarial Training And Clustering
"Haoran Tang, Rein Houthooft, Davis Foote, Adam Stooke, Xi Chen, Yan Duan, John Schulman, Filip De Turck, Pieter Abbeel",Reject,https://openreview.net/forum?id=SyOvg6jxx&noteId=SyOvg6jxx,SyOvg6jxx,https://openreview.net/pdf?id=SyOvg6jxx,#Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning
"Jake Snell, Kevin Swersky, Richard Zemel",Reject,https://openreview.net/forum?id=B1-Hhnslg&noteId=B1-Hhnslg,B1-Hhnslg,https://openreview.net/pdf?id=B1-Hhnslg,Prototypical Networks for Few-shot Learning
"Eugene Vorontsov, Chiheb Trabelsi, Samuel Kadoury, Chris Pal",Reject,https://openreview.net/forum?id=HkuVu3ige&noteId=HkuVu3ige,HkuVu3ige,https://openreview.net/pdf?id=HkuVu3ige,On orthogonality and learning recurrent networks with long term dependencies
"Yan Wang, Kun He, John E. Hopcroft, Yu Sun",Reject,https://openreview.net/forum?id=r17RD2oxe&noteId=r17RD2oxe,r17RD2oxe,https://openreview.net/pdf?id=r17RD2oxe,Deep Neural Networks and the Tree of Life
"Daniel Jiwoong Im, He Ma, Chris Dongjoo Kim, Graham Taylor",Reject,https://openreview.net/forum?id=Sk8J83oee&noteId=Sk8J83oee,Sk8J83oee,https://openreview.net/pdf?id=Sk8J83oee,Generative Adversarial Parallelization
"Masatosi Uehara, Issei Sato, Masahiro Suzuki, Kotaro Nakayama, Yutaka Matsuo",Reject,https://openreview.net/forum?id=S1JG13oee&noteId=S1JG13oee,S1JG13oee,https://openreview.net/pdf?id=S1JG13oee,b-GAN: Unified Framework of Generative Adversarial Networks
"Rohollah Soltani, Hui Jiang",Reject,https://openreview.net/forum?id=ByZvfijeg&noteId=ByZvfijeg,ByZvfijeg,https://openreview.net/pdf?id=ByZvfijeg,Higher Order Recurrent Neural Networks
"Shuangfei Zhai, Yu Cheng, Rogerio Feris, Zhongfei Zhang",Reject,https://openreview.net/forum?id=ry7O1ssex&noteId=ry7O1ssex,ry7O1ssex,https://openreview.net/pdf?id=ry7O1ssex,Generative Adversarial Networks as Variational Training of Energy Based Models
"Melanie Ducoffe, Frederic Precioso",Reject,https://openreview.net/forum?id=ryaFG5ige&noteId=ryaFG5ige,ryaFG5ige,https://openreview.net/pdf?id=ryaFG5ige,Introducing Active Learning for CNN under the light of Variational Inference
"Ziyuan Lin, Jaakko Peltonen",Reject,https://openreview.net/forum?id=Hk-mgcsgx&noteId=Hk-mgcsgx,Hk-mgcsgx,https://openreview.net/pdf?id=Hk-mgcsgx,An Information Retrieval Approach for Finding Dependent Subspaces of Multiple Views
"Xin Zheng, Zhenzhou Wu",Reject,https://openreview.net/forum?id=H1Go7Koex&noteId=H1Go7Koex,H1Go7Koex,https://openreview.net/pdf?id=H1Go7Koex,Character-aware Attention Residual Network for Sentence Representation
"Pranav Shyam, Ambedkar Dukkipati",Reject,https://openreview.net/forum?id=BJjn-Yixl&noteId=BJjn-Yixl,BJjn-Yixl,https://openreview.net/pdf?id=BJjn-Yixl,Attentive Recurrent Comparators
"Makoto Nakatsuji, Hisashi Ito, Naruhiro Ikeda, Shota Sagara, Akihisa Fujita",Reject,https://openreview.net/forum?id=ryQbbFile&noteId=ryQbbFile,ryQbbFile,https://openreview.net/pdf?id=ryQbbFile,CAN AI GENERATE LOVE ADVICE?: TOWARD NEURAL ANSWER GENERATION FOR NON-FACTOID QUESTIONS
"Aditya Grover, Stefano Ermon",Reject,https://openreview.net/forum?id=HyY4Owjll&noteId=HyY4Owjll,HyY4Owjll,https://openreview.net/pdf?id=HyY4Owjll,Boosted Generative Models
"Jernej Kos, Ian Fischer, Dawn Song",Reject,https://openreview.net/forum?id=SJk01vogl&noteId=SJk01vogl,SJk01vogl,https://openreview.net/pdf?id=SJk01vogl,Adversarial examples for generative models
"Philip Bachman, Alessandro Sordoni, Adam Trischler",Reject,https://openreview.net/forum?id=SyW2QSige&noteId=SyW2QSige,SyW2QSige,https://openreview.net/pdf?id=SyW2QSige,Towards Information-Seeking Agents
Taewan Kim,Reject,https://openreview.net/forum?id=HyWDCXjgx&noteId=HyWDCXjgx,HyWDCXjgx,https://openreview.net/pdf?id=HyWDCXjgx,Multi-label learning with the RNNs for Fashion Search
"Matthias Dorfer, Jan Schlüter, Gerhard Widmer",Reject,https://openreview.net/forum?id=rywUcQogx&noteId=rywUcQogx,rywUcQogx,https://openreview.net/pdf?id=rywUcQogx,Differentiable Canonical Correlation Analysis
"Louis Shao, Stephan Gouws, Denny Britz, Anna Goldie, Brian Strope, Ray Kurzweil",Reject,https://openreview.net/forum?id=HJDdiT9gl&noteId=HJDdiT9gl,HJDdiT9gl,https://arxiv.org/pdf/1701.03185.pdf,Generating Long and Diverse Responses with Neural Conversation Models
"Guillaume Alain, Yoshua Bengio",Reject,https://openreview.net/forum?id=ryF7rTqgl&noteId=ryF7rTqgl,ryF7rTqgl,https://openreview.net/pdf?id=ryF7rTqgl,Understanding intermediate layers using linear classifier probes
"Christopher Tensmeyer, Tony Martinez",Reject,https://openreview.net/forum?id=Syfkm6cgx&noteId=Syfkm6cgx,Syfkm6cgx,https://openreview.net/pdf?id=Syfkm6cgx,Improving Invariance and Equivariance Properties of Convolutional Neural Networks
"Tao Lin, Tian Guo, Karl Aberer",Reject,https://openreview.net/forum?id=ryCcJaqgl&noteId=ryCcJaqgl,ryCcJaqgl,https://openreview.net/pdf?id=ryCcJaqgl,TreNet: Hybrid Neural Networks for Learning the Local Trend in Time Series
"Jakob Foerster, Justin Gilmer, Jan Chorowski, Jascha Sohl-dickstein, David Sussillo",Reject,https://openreview.net/forum?id=H1MjAnqxg&noteId=H1MjAnqxg,H1MjAnqxg,https://openreview.net/pdf?id=H1MjAnqxg,Intelligible Language Modeling with Input Switched Affine Networks
"Daniel Berio, Memo Akten, Frederic Fol Leymarie, Mick Grierson, Réjean Plamondon",Reject,https://openreview.net/forum?id=r1S083cgx&noteId=r1S083cgx,r1S083cgx,https://openreview.net/pdf?id=r1S083cgx,Sequence generation with a physiologically plausible model of handwriting and Recurrent Mixture Density Networks
"Thomas Nedelec, Elena Smirnova, Flavian Vasile",Reject,https://openreview.net/forum?id=ryTYxh5ll&noteId=ryTYxh5ll,ryTYxh5ll,https://openreview.net/pdf?id=ryTYxh5ll,CONTENT2VEC: SPECIALIZING JOINT REPRESENTATIONS OF PRODUCT IMAGES AND TEXT FOR THE TASK OF PRODUCT RECOMMENDATION
"Mehdi Cherti, Balázs Kégl, Akın Kazakçı",Reject,https://openreview.net/forum?id=ByEPMj5el&noteId=ByEPMj5el,ByEPMj5el,https://openreview.net/pdf?id=ByEPMj5el,Out-of-class novelty generation: an experimental foundation
"Kazuma Hashimoto, Caiming Xiong, Yoshimasa Tsuruoka, Richard Socher",Reject,https://openreview.net/forum?id=SJZAb5cel&noteId=SJZAb5cel,SJZAb5cel,https://openreview.net/pdf?id=SJZAb5cel,A Joint Many-Task Model: Growing a Neural Network for Multiple NLP Tasks
"Matthew Riemer, Elham Khabiri, Richard Goodwin",Reject,https://openreview.net/forum?id=HyenWc5gx&noteId=HyenWc5gx,HyenWc5gx,https://openreview.net/pdf?id=HyenWc5gx,Representation Stability as a Regularizer for Improved Text Analytics Transfer Learning
"Eric Price, Wojciech Zaremba, Ilya Sutskever",Reject,https://openreview.net/forum?id=ryjp1c9xg&noteId=ryjp1c9xg,ryjp1c9xg,https://openreview.net/pdf?id=ryjp1c9xg,Extensions and Limitations of the Neural GPU
"Dawei Li, Xiaolong Wang, Deguang Kong, Mooi Choo Chuah",Reject,https://openreview.net/forum?id=SkwSJ99ex&noteId=SkwSJ99ex,SkwSJ99ex,https://openreview.net/pdf?id=SkwSJ99ex,DeepRebirth: A General Approach for Accelerating Deep Neural Network Execution on Mobile Devices
"Evan Racah, Christopher Beckham, Tegan Maharaj, Prabhat, Christopher Pal",Reject,https://openreview.net/forum?id=SJ_QCYqle&noteId=SJ_QCYqle,SJ_QCYqle,https://openreview.net/pdf?id=SJ_QCYqle,Semi-Supervised Detection of Extreme Weather Events in Large Climate Datasets
"Youngjoo Seo, Michaël Defferrard, Pierre Vandergheynst, Xavier Bresson",Reject,https://openreview.net/forum?id=S19eAF9ee&noteId=S19eAF9ee,S19eAF9ee,https://openreview.net/pdf?id=S19eAF9ee,Structured Sequence Modeling with Graph Convolutional Recurrent Networks
"Yang Yu, Wei Zhang, Bowen Zhou, Kazi Hasan, Mo Yu, Bing Xiang",Reject,https://openreview.net/forum?id=r1te3Fqel&noteId=r1te3Fqel,r1te3Fqel,https://openreview.net/pdf?id=r1te3Fqel,End-to-End Answer Chunk Extraction and Ranking for Reading Comprehension
"Tianxiang Gao, Vladimir Jojic",Reject,https://openreview.net/forum?id=r1IRctqxg&noteId=r1IRctqxg,r1IRctqxg,https://openreview.net/pdf?id=r1IRctqxg,Sample Importance in Training Deep Neural Networks
"Serena Yeung, Anitha Kannan, Yann Dauphin, Li Fei-Fei",Reject,https://openreview.net/forum?id=Bk3F5Y9lx&noteId=Bk3F5Y9lx,Bk3F5Y9lx,https://openreview.net/pdf?id=Bk3F5Y9lx,Epitomic Variational Autoencoders
"N. Siddharth, Brooks Paige, Alban Desmaison, Jan-Willem van de Meent, Frank Wood, Noah D. Goodman, Pushmeet Kohli, Philip H.S. Torr",Reject,https://openreview.net/forum?id=HJtN5K9gx&noteId=HJtN5K9gx,HJtN5K9gx,https://openreview.net/pdf?id=HJtN5K9gx,Learning Disentangled Representations in Deep Generative Models
Antonio Valerio Miceli Barone,Reject,https://openreview.net/forum?id=rkaRFYcgl&noteId=rkaRFYcgl,rkaRFYcgl,https://openreview.net/pdf?id=rkaRFYcgl,Low-rank passthrough neural networks
"Rahul G. Krishnan, Matthew Hoffman",Reject,https://openreview.net/forum?id=r1Chut9xl&noteId=r1Chut9xl,r1Chut9xl,https://openreview.net/pdf?id=r1Chut9xl,Inference and Introspection in Deep Generative Models of Sparse Data
"Yelong Shen*, Po-Sen Huang*, Ming-Wei Chang, Jianfeng Gao",Reject,https://openreview.net/forum?id=r1PRvK9el&noteId=r1PRvK9el,r1PRvK9el,https://openreview.net/pdf?id=r1PRvK9el,Implicit ReasoNet: Modeling Large-Scale Structured Relationships with Shared Memory
"Irwan Bello*, Hieu Pham*, Quoc V. Le, Mohammad Norouzi, Samy Bengio",Reject,https://openreview.net/forum?id=rJY3vK9eg&noteId=rJY3vK9eg,rJY3vK9eg,https://openreview.net/pdf?id=rJY3vK9eg,Neural Combinatorial Optimization with Reinforcement Learning
"Ronan Collobert, Christian Puhrsch, Gabriel Synnaeve",Reject,https://openreview.net/forum?id=BkUDvt5gg&noteId=BkUDvt5gg,BkUDvt5gg,https://openreview.net/pdf?id=BkUDvt5gg,Wav2Letter: an End-to-End ConvNet-based Speech Recognition System
"Zhengping Che, Sanjay Purushotham, Kyunghyun Cho, David Sontag, Yan Liu",Reject,https://openreview.net/forum?id=BJC8LF9ex&noteId=BJC8LF9ex,BJC8LF9ex,https://openreview.net/pdf?id=BJC8LF9ex,Recurrent Neural Networks for Multivariate Time Series with Missing Values
"Mingbo Ma, Liang Huang, Bing Xiang, Bowen Zhou",Reject,https://openreview.net/forum?id=BJFG8Yqxl&noteId=BJFG8Yqxl,BJFG8Yqxl,https://openreview.net/pdf?id=BJFG8Yqxl,Group Sparse CNNs for Question Sentence Classification with Answer Sets
"Adam Trischler, Tong Wang, Xingdi Yuan, Justin Harris, Alessandro Sordoni, Philip Bachman, Kaheer Suleman",Reject,https://openreview.net/forum?id=ry3iBFqgl&noteId=ry3iBFqgl,ry3iBFqgl,https://openreview.net/pdf?id=ry3iBFqgl,NEWSQA: A MACHINE COMPREHENSION DATASET
"Bhuwan Dhingra, Hanxiao Liu, Zhilin Yang, William W. Cohen, Ruslan Salakhutdinov",Reject,https://openreview.net/forum?id=HkcdHtqlx&noteId=HkcdHtqlx,HkcdHtqlx,https://openreview.net/pdf?id=HkcdHtqlx,Gated-Attention Readers for Text Comprehension
"Chang Liu, Xin Wang, Richard Shin, Joseph E. Gonzalez, Dawn Song",Reject,https://openreview.net/forum?id=rJbPBt9lg&noteId=rJbPBt9lg,rJbPBt9lg,https://openreview.net/pdf?id=rJbPBt9lg,Neural Code Completion
"Peter Potash, Alexey Romanov, Anna Rumshisky",Reject,https://openreview.net/forum?id=B1KBHtcel&noteId=B1KBHtcel,B1KBHtcel,https://openreview.net/pdf?id=B1KBHtcel,Here's My Point: Argumentation Mining with Pointer Networks
"Richard Shin, Alexander A. Alemi, Geoffrey Irving, Oriol Vinyals",Reject,https://openreview.net/forum?id=Hy0L4t5el&noteId=Hy0L4t5el,Hy0L4t5el,https://openreview.net/pdf?id=Hy0L4t5el,Tree-Structured Variational Autoencoder
"Zenna Tavares, Armando Solar-Lezama",Reject,https://openreview.net/forum?id=BJVEEF9lx&noteId=BJVEEF9lx,BJVEEF9lx,https://openreview.net/pdf?id=BJVEEF9lx,Learning Approximate Distribution-Sensitive Data Structures
"Rasool Fakoor, Abdel-rahman Mohamed, Margaret Mitchell, Sing Bing Kang, Pushmeet Kohli",Reject,https://openreview.net/forum?id=SkJeEtclx&noteId=SkJeEtclx,SkJeEtclx,https://openreview.net/pdf?id=SkJeEtclx,Memory-augmented Attention Modelling for Videos
